userName;rawContent;status;Label
Intan Azzalia;"kenapa saat saya comeback main ml,selalu ngebug padahal WiFi nyala dan sinyal bagus penyimpanan juga masi banyak,tapi kenapa selalu begitu. Dan pas lagi tutorial,dah ngekill minion nya tapi enemy yang lain ngga muncul"" dan juga wilayah nya dibatasi,jadi saya bingung harus bagaimana?!, Tolong di update.";1;Negatif
Hairul Abdul azis;Makin sering update gk jelas, terlalu fokus event sementara masalah jaringan dikesampingkan, padahal jaringan adalah hal yg paling penting dalam permainan, bukan skin. Tolonglah developer tingkatkan pengalaman bermain player, perbaiki masalah jaringan ping tinggi, jangan hanya uang saja yg kalian pikirkan.;1;Negatif
Rezky Pratama;Pas login sinyalnya bagus.. pas mau bertanding tibatiba merah dan kadang saat bertanding suka ngehang lama banget sampe 2 menitan bahkan lebih sampe afk.. padahal ram gede! Seharusnya yg paling penting yg harus diperbaiki dan yg diutamakan tuh masalah sinyalnya juga bug! Jangan hanya sekedar heronya skinnya dll yg diperbaiki. Percuma hero bagus penampilan bagus tapi sinyal gk ada perubahan;1;Negatif
joko susilo;Aplikasi game ini sangat sangat rentan. Selalu saja ada masalah. Yg stuck di layar loading lah. Yg tida bisa krn file error lah. Yg bisa bs afk sendiri lah.. Sayang.. Game nya seru tapi kebanyakan masalah.. Hal itu membuat ragu utk beli skin atau hero ke akun kita, krn game nya rempong;1;Negatif
Sarah Egha;Game ini bagus aja tapi knp pas masuk ke dalam game nya langsung bug, yang ku maksud kayak gitu misalnya kita main game tapi bug nya banyak tapi kok pas, liat liat map itu keluar sendiri yang itu yang aku bikin, kesal banget sih tapi bisa di perbaiki lagi gk sih game nya suka bug gitu jadi aneh aja oke itu aja yang kusampaikan sampai jumpa lagi😀;1;Negatif
Mndr PhotoArt;AUTO UNINSTALL GAME SAMPAH...!!!Sudah hampir 7GB makan memori internal...Update event2 gak guna banyak bug sering freeze...!!!Yang buat banyak player feeder sekarang bukan karena mereka gk bisa main,,tapi karna grafis game ini semakin tinggi gk smooth di hp spek biasa..!!;1;Negatif
Deni Hidayanto;"Sekarang banyak crush system, ku kira dari provider eh ternyata pindah tempat di lokasi sama dengan player lain tapi tetap lag, freeze, force system, jaringan tiba"" gak nyaut lah padahal buat sharing wifi temen malah masih lancar. Hadeh, tambah masalah lagi. Nge Rank dah selesai eh malah gak kehitung hasil pertandingan nya. Kalau mau tanya spek cpu nya snapdragon 860, pengaturan sesuai rekomendasi.";1;Negatif
Ziyan Niswatun R;Ml sekarang lebih masalah ke soal sinyal, padahal sinyal di hp saya bagus banget/lancar, tapi selama saya main MLBB ini saya sering mengalami penurunan fps yg drastis, tidak respon cepat saat saya menekan fitur apapun, misal Shop,event dll. Disaat pertandingan saya sering mendapatkan fps merah, ngefreze, lag. Tolong lebih diperhatikan soal sinyal, jangan fokus update trus:);1;Negatif
RIL;Kebanyakan ngurusin event, sampe kenyamanan playernya kurang diperhatiin. Setiap aku main beberapa match, terus aja ada 2/3 match yang disconnect padahal sinyal sama device aman. apalagi baru2 ini, gua pernah disconnect terus nggak bisa in game lagi. Tolong diperbaiki Moonton!! Problem kayak gini tolong jangan di cuekin!;1;Negatif
Oktamala Wikromo;Kenapa ketika bermain pasti menghubungkan jaringan padahal signal bagus dan mendapat notif afk padahal tidak keluar dari permainan. Banyak sekali bugs, tolong diperbaiki lagi untuk bugs dan untuk penyimpanan bisa dikurangi, baru berapa kali bermain penyimpanan sudah 3gb.;1;Negatif
11_Fikri Fadhilah;Tolong bet nih sistem ranked untuk solo player ubah lah ,masa di kasi tim yg g bisa main mulu(feeder)🥲. Tambahan masi banyak bug yg saya temuin di control nya contoh nya di analog sama saya ga bisa mencet lebih dari 1 tombol;1;Negatif
umbaran ismail33;Tolong untuk pihak developer nya atau moonton, sekarang inih Mobile legend terlalu banyak masalah, apalagi soal bug, sinyal/jaringan, serta penyimpanan, sering kali hp menengah ke bawah sering penuh penyimpanan datanya karenan penyimpanan data ML terlalu besar, dan yg paling serius dan sangat menggangu saya saat bermain, sering kali ngeleg, dan tiba² menghubungkan ulang padahal jaringan/sinyal sangat baik.... TOLONG SEKALI BUAT PIHAK DEVELOPERNYA UNTUK DIPERBAIKI LG MSLH MSLH YG ADA.!!!!;1;Negatif
Arwin Alamsyah;Makin hari makin parah bug dan jaringan,Selalu patah2 tiap bermain. Moonton hanya mementingkan event mulu tidak relavan kepada para player nya,bermain MLBB sekarang makin gak nyaman dengan masalah jaringan dan bug.Tidak pernah di perbaiki hanya mementingkan pendapatan dari pada kualitas game itu sendiri.;1;Negatif
Mas Agung;Gw kasih bintang 1 karna semenjak update ini, jaringan gw bagus lancar stabil malahan WiFi+data, tapi pas waktu pertandingan sinyal mulai merah drop 208ms-338ms parah nya, tolong dong monton banyak orang yg ngeluh tentang bug ini, jangan perbaiki bug Hiro aja jaringan perbaikin dulu, gak papa Hiro banyak bug nya tapi now adalah jaringan percuma kan kalo jaringan ngeleq terus !! Untuk sementara gw unistal dulu moba nya, karna bug sinyal sampai sekarang belum diperbaiki, gw pindah game sebelah..!!;1;Negatif
Rafella Simanjorang;Gamenya parah, Setelah di-update gamenya sering keluar sendiri kalau lagi bermain, terus sinyalnya ngeleg padahal data sama WiFi Stabil terus banyak bugnya apalagi banyak player yang menggunakan cheat yang membuat saya sering kalah, kalau mau mendownload game ini, lebih baik dipikir pikir aja dulu karena gamenya banyak bug dan sering keluar masuk nggak jelas;1;Negatif
Alif Achmad;Saran, baru-baru ini terjadi bug di saat loading memasuki matches, yaitu freeze dan blank. Padahal soc bagus snapdragon 720G 8/128 serta jaringan bagus pakai wifi+data. Tolong segera diperbaiki.Sbg player solo sering mendapatkan tim yg feeder. Tolong diperbaiki matching gamenya. Agar para player solo tidak bosan.;1;Negatif
syarif_hidayatullah 98;Makin update makin gajelas. Sinyal ping di loby 40-50 ms. Pas main analog sering tidak berfungsi, rekan begitu juga. gabisa gerak. Ping menunjukkan warna hijau dengan kisaran 40-60, tapi jalannya gajelas, seperti ping 250 ms keatas. Akhirnya direport dan kena feeder. Pdhl sistem moonton yg bermasalah. Sangat amat dirugikan sekali karena hendak bermain bagus tetapi hasilnya begitu. Skor kredit banyak berkurang tidak jelas karena kesalahan pihak moonton. Sangat kacau, parahhhhhhhhhhhhhhh;1;Negatif
Not famous TV;developer game curang. Sudah tau keluhan utama nya adalah jaringan. Dan itu bukan di sebabkan kan karna tempat yang mempengaruhi sinyal. Tapi memang ini di sebabkan oleh trik nya developer moonton yang di bikin tiba2 sinyal merah lah nge bug lah. Udah winstreak 7 kali terus dapet tim yang noob musuh nya yang standar dan dalam satu tim ada satu yang bisa nge gendong nya. Eh malah jaringan tiba2 di kasih merah. Jadi auto lose lagi deh. Udah jelas lah ini adalah trik moonton memanipulasi palyer;1;Negatif
Pipit Fitria;Sehabis update Mobile legends BB, sering terjadi bug yang sangat mengganggu. Apalagi pada hero tertentu. Mohon diseimbangkan jika musuh sulit tim juga bagus jadi seimbang. Apalagi ketika kita lagi stres malah ketemu tim buruk atau tidak sopan.. Mohon diperbaiki...;1;Negatif
Dan;Developer terhormat, ada bug yg setiap ganti akun itu selalu mengecek resource. Dan itu selalu, setiap log in akun lain, itu sangat menggangu sekalii. Gmna si update makin ada aja bug ny. Trus skrng jadi gk bisa log in, stuck mlu di loading awal... Klo pun bisa log in, setelah main 1 match langsung load mlu, biasany jga nggk, parah banget kali ini;1;Negatif
yana muaziz;Buat developer apk.. kalo bisa buat yg versi lite. Jadi meskipun hp kentang min ram 2.. gak berat.. jgn terlalu kebanyakan download resource. Di File jadi kegedean.. udah gede di sinyal jadi lag lag mulu.. padahal sinyal bagus buat yang lain no lag...;1;Negatif
ambune Kecut;Dear Moonton. Tolong perbaiki bug bug yg mengganggu seperti: download 100% data tapi skin battle nya tidak ditampilkan di game saat bermain dan bug bug draw dan bug bug lainnya. Kami sebagai player merasa tidak nyaman karena bug bug tersebut. Kami mohon untuk kedepannya diperbaiki bug bug yang nengganggu;1;Negatif
Awin Syahbana;mohon maaf kali ini saya kasih bintang 1, setelah update patch baru, saya sangat merasa dirugikan dengan system matchmaking nya seperti sampah, selalu dapat tim yang kurang pengalaman bermain, dan tim lawan malah lebih berpengalaman, saya mendapatkan kekalahan terus menerus, tolong untuk sistem match making dibenerin,;1;Negatif
Gideon Saputra (YonFrost);Ini bug ml semakin banyak ku liat, pertama, bug di dalam game pas war langsung ngelag. kedua, bug event skin special harley yg tiba tiba hilang, padahal blm habis eventnya Ketiga, bug tittle, padahal dah habis waktu nya di leader board tapi ga ada keluar tittle nya. Tolong diperhatikan lagi developer;1;Negatif
Wiliam Felix;Hallo Moonton, kritikan dari saya. Akhir-akhir seasons ini moba kenapa ya, loading screen diem ga jalan memakai data sendiri, diharuskan pakai tambahan seperti wifi baru berjalan. dimohon bgt ya, ini cukup menyusahkan karna gasemua tmp kita bisa pakai wifi. Dimohon bgt ya perbaikannya sampai tuntas. mau main game aja harus susah. Saya harap ada balasan dari pihak Moonton. Terimakasih.;1;Negatif
Naufal Ezzy;Makin lama makin banyak bugnya Seperti : 1. Sinyal bagus saat di loby tapi pas in game lag 2. Analog sering ngestuck 3.Skill 3 wanwan sulit digunakan meskipun skill 3 nya sudah nyala 4. Saat gacha/ Draw sering lag dan tidak tahu apa hadiah dari gacha/draw itu(padahal jaringan lancar) 5. Loading sering ngestuck (padahal jaringan lancar) Tolonglah MOONTON ini diperbaiki;1;Negatif
Aisyah Tangalayuk;Tolong kalau matchmaking, para tim maupun musuh itu disetarakan, jangan yang pro lawan sama newbie ataupun sebaliknya. Terlalu banyak para troll dan cheater. Banyak juga yang afk gara gara jaringan. Jadinya Lose streak terus. Nggak usah banyakin hero ataupun update. Perbaiki sistem gamenya, khususnya dibagian matchmaking.;1;Negatif
Raka Alathaya;Game nya jelek! Kadang saat pas masuk game main rank lagi ngelord Langsung keluar dari game pas masuk lagi gak bisa masuk saya kecewa dengan game dan juga pemilihan tim nya banyak yang 2 retri dan juga banyak bug tulisan hilang,keluar sendiri dari game Pokok nya game ini sangat jelek!! Rasanya saya ingin mengetahui siapa itu moonton saya ingin hajar dia!!!! Bisa gak bug-bug itu dihapus dasar moonton gak tau diri apa lagi pemilihan tim nya sangat tidak adil kadang saya bertemu 4 retri;1;Negatif
rizka elmanda;Saya pernah mengalami seperti masuk ke dimensi lain. Musuh seperti bot tp pas sdh menang jd diulang lg dan menjadi feeder. Setelah melihat replay saya seperti player afk padahal saya seperti lawan bot. Tolong perbaiki bug dimensi lainnya.;1;Negatif
Ulun vater;Ada fitur speed mode jaringan malah bikin jaringan ngelag karena ketergantungan terhadap jaringan kartu SIM, Apabila sedang tidak punya paket data ngelagnya minta ampun, tolong diperbaiki, padahal saat tidak ada paket data dan itu memakai WiFi aplikasi lain tidak delay ataupun buffer tapi ini game kok malah ping diatas 200 ms terus. Game aneh;1;Negatif
Punggi Setiawan;Selalu ada gangguan bug untuk mengganti foto profil dan album, selalu keluar keluar sendiri, padahal sinyal bagus banget pake cara apapun selalu keluar keluar sendiri terus menerus, beda sama moba lainnya.. moonton/mobile legends banyak yang gak jelas, apa lagi setiap ranked di legend 1 menang 1x dan ranked lagi di pilihkan sistem team yang gak jelas dan pilihkan musuh yang susa banget, pake Hero apapun cara main gimanapun selalu di pilihkan team gak jelas.. itu karna sistem dari pihak moontonny;1;Negatif
Adhitya reza putra Sukasto;Setelah update saya mengalami bug dimana beberapa skill dari hero yang saya gunakan tidak terlihat efeknya, Bahkan skill musuh juga beberapa ada yang tidak terlihat. Hal ini tentu menganggu gameplay saya. Mohon segera diperbaiki;1;Negatif
Fixie;Data numpuk. Semakin lama data aplikasi semakin besar, yang tadinya full data cuman 5gb an sekarang bisa sampai 10gb. Waktu di cek in game di data numpuk & udah di clear cache + udh di clear juga data yang numpuk cuman bisa di hapus 100mb an doang. Tolong diperbaiki masalah ini. Karna untuk hp yang memori nya sedikit, masalah ini sangat menggangu.;1;Negatif
Muhammad Baruna;Banyakin tuh skin!! Tambahin terus tuh hero!! Buat apa sih?? Player itu pada teriak masalah Jaringan, lagi war tiba tiba merah/lag, giliran mati normal, Bukan masalah Hp atau Sinyal, semua itu udh ngedukung!! Main dari jaman akai masih ngegelinding sampe sekarang masih aja di kendala yang sama!. Tolong dong Dev dengerin para player, ditambah player yang hp nya kurang mendukung itu tolong lah di buat pengaturan penyimpanan khusus.;1;Negatif
Rendy Chandra;Setelah update gamenya sering bermasalah, seperti sinyal tiba-tiba buruk padahal sudah pakai wifi dan data seluler, sering mancet di pertengahan game padahal handphone juga masih oke. Tolonglah kalau kasih team yang bener dong, masa team musuh jago team gua kgk ada yang bisa main.;1;Negatif
Saepul Ramdani;Ayolah moonton game lu dari dulu keluhan nya sama tapi gak ada tanggapan dari developernya, sinyal ketika main sering naik turun, kadang kadang Stak dan ga bisa main selama pertandingan kecuali relog. Kemarin saya update versi terbaru dari game ini, dan sekarang saya tidak bisa masuk game di karenakan layar game blank warna hitam. Masa harus hapus pasang lagi, sayang Kouta min.;1;Negatif
Anggi Ardiansyah;ASTAGA INI JARINGAN MAKIN GAJELAS AJA. MAIN GAME LAIN LANCAR JAYA, MAIN ML INTERNET JUMPING. PAKAI JARINGAN TELKOMSEL SAMA AE, PAKAI WIFI SAMA JUGA, DI KOMBINASIKAN WIFI SAMA JARINGAN DATA SAMA AJA TETAP LAG, JARINGAN NAIK TURUN. NOTIF PING SELALU HIJAU TAPI MAIN KUNING MERAH. GAJELAS AMAT.;1;Negatif
Hannn 27;"Di pengaturan grafik sering berubah-ubah setiap habis re-load,yang semula ""GABUNGKAN TEKS DAMAGE"" berubah menjadi ""OPTIMASI RESOLUSI RENDAH"",padahal decive saya bukan device low-end. Dan untuk refreshrate ultra juga belum ada,padahal device saya sudah support 120 fps.Di dalam pertandingan setingan grafik sudah ultra,tapi di map belum ultra";1;Negatif
Kelvin Cai;Sinyal wifi full 3-4bar tapi begitu buka aplikasi game ini, sinyal wifi langsung berubah jd 1bar saja dan kemudian terpaksa wifinya otomatis beralih menjadi memakai data seluler..logout dari game, sinyal wifi langsung normal kembali full lagi di 3-4bar.. Main game ini harus pakai 2 sinyal (wifi+data seluler), kalau pakai cuma salah satu saja, langsung lag parah..Samsung setelah update OS ke android 13, main game ini langsung gerakan hero patah-patah sampai mata pusing dan mual lihat layar hp nya;1;Negatif
Tigor Bima Sakti;Season baru kok malah sering lag. Di in game pemakaian data bisa sampe kecepatan 1mb/s tapi malah jaringan tidak stabil ping Tinggi. Ini kenapa sih, kalau masih kek gini mendingan gw pensi main MLBB ampasss bgt ganti season malah sering lag gajelas padahal sinyal dan pemakaian data boros;1;Negatif
Awan Sutaji;Montod Dari pada update² skil skin hero, Grafis, dll. Mending fokus aja ke perbaikan matching yg baik dan benar, sama sekali tidak memuaskan untuk matching yg tidak seimbang. Kalau bisa lho ya, nek gak bisa ya sudah.;1;Negatif
wahyudin woke;Tolong di perbaiki ada banyak bug dan kondisi sinyal bagus masak ngelek² tolong di perbaiki mootoon! Segitu aja!? Dah di perbarui aku kasih lima bintang!? Satu lagi kontrol nya di perbaiki dong sulit di gunakan dan di pinggirkan kontrol nya biar mudah saat mengendalikan hero nya!?;1;Negatif
VIRGO_TF;"Tolong kepada Moonton buat perbaiki lah tentang masalah jaringan.Masa ping saat dalam game 30-50,tapi serasa 250 an,Analog di gerakin tapi hero nya gk ikut gerak,Begitu juga skill,Udah di pencet skill malah gk keluar,Setelah 5-10 detikan baru tuh bisa gerak ama ngeluarin skill sesuai yg di pencet ""Tadi"". Dan masalah pas loading mau masuk lobi,itu lama nya minta ampun sekitar 2 menitan cuman liat loading screen gambar neymar doang.Sekali lagi kepada Moonton agar bisa memperbaiki game nya. THANKs";1;Negatif
KRISNA ABY S;Game aneh setelah update, sinyal bagus penyimpanan banyak , loading setelah pemilihan hero tiba tiba keluar pas mau menghubungkan ulang tiba tib game selesai credit score berkurang ada peringatan afk. WFT . Pemilihan musuh dan tim ga setara musuh mainnya pro tim main kaya bot semua;1;Negatif
Erick Santana;Setelah saya baca ulasan, ternyata bukan cuma saya saja yg bermasalah dgn sinyal.. Sudah 2 hari gangguan sinyal, sampai afk.. Draf pick masih oke, pas in game mulai sinyal ga stabil..dan masalah sinyal lagi.. Kembali gangguan..;1;Negatif
Jauharoh Alfi;Sekarang ml nyebelin banget... Masa aku masuk loading mulu... mau otw main ni udah pilih hero terus tiba-tiba loading nya lama banget, gak bisa masuk untuk main selama setengah jam.an, pas coba masuk ke dalam game lagi tiba-tiba udah kalah aja itu Hero yang aku pilih padahal aku nggak main samasekali,..😑😑😑😑😑 plis lah diperbaiki lagi deh ni game.nya.;1;Negatif
Okky Sanjaya;Sering kali in game ping naik lag ga gerak. Saat ingin relog malah ga bisa masuk game lagi. Membuat kredit score turun. Selain itu server sering eror. Saat mau start in game malah ga bisa start. Tolong diperbaiki;1;Negatif
Farel Official;Game semakin tidak jelas, baru 5 menit main sudah lag dan menghubungkan ulang, padahal ping bagus dan coba saya bagi layar dengan tiktok, di tiktok pun tidak ada lag sama sekali, jaringan lancar, kenapa semakin lama mobile legends semakin buruk kualitas nya? Tolong segera di perbaiki, ini mengganggu kenyamanan kami sebagai pengguna game, padahal game nya seru, namun karena kendala tersebut jadi tidak ada ketertarikan lagi untuk memainkannya. Terimakasih, semoga dibaca developer.;1;Negatif
Uwais 1845;Season kmren main udah victory tiba2 ada notif masalah koneksi jaringan yg tidak stabil. Stelah jaringan normal history gameplay nya tidak ada dan tidak menambah bintang/point kemenangan. Season saat ini. Barusan main sudah victory masalahnya sama sperti di atas. udah 2x kaya gtu Padahal sinyal bagus gk ada lag sama sekali.;1;Negatif
Eko Sandy;Sebagai penikmat game saya berharaf kualitas jaringan di mlbb segera dibenahi. Banyak player yang sudah bosan gara - gara sinyal ping merah dan tidak stabil. Dan untuk kedepan nya lebih di utamakan lagi tentang game play kestabilan di sistem jaringan bukan kualitas grafik ataupun karakter hero. Karna keluhan semua player mlbb cuman satu yaitu kendala JARINGAN BURUK !!!;1;Negatif
Gibran Setiyono;Setelah update patch 1.7.44.811.1 ini sering terjadi bug pada jaringan dan hero, yang paling utama adalah pada jaringan nya entah kenapa waktu di lobby jaringan normal dan lancar tapi saat bermain malah eror dan drop, tolong segera di perbaiki kembali untuk masalah jaringan tsb..;1;Negatif
Viana Roo;Setelah update,setiap akan masuk arena pertandingan loading selalu stop di 40% dan memerlukan waktu tunggu lama untuk maauk ke game. Setelah 40% stop langsung ke game. terbaca afk di awal pertandingan bahkan bisa sudah mati 1x. Sehingga setelah masuk akan dimaki2 tim dan lawan karna startnya lama. Padahal speed internet di cek bagus.;1;Negatif
Aiz Maulana;Umum : 1. Matikan fitur AUTO UPDATE. 2. Tambahkan slot blacklist karena di jam tertentu (dini hari) sering bertemu pemain yang sama sebelumnya di match ranked. Magic chess : 1. UI patch kali ini sangat buruk. Terutama untuk penempatan item ke hero. Memakan waktu untuk mengganti item ketika hero sudah tidak ada di battlefield. (Dan juga membuat kolom backpack tidak ada fungsinya).;1;Negatif
Aidil syahputra;Game ini sangat tidak untuk di recommendasikan di karnakan ketika di melakukn game play sering terjadi tidak seimbangnya pertandingan di antaranya dapat di akbatkan dari hiro yang terlalu kuat, tim yang terlalu lemah, dan juga musuh yang terlalu kuat hal ini menyebabkan tidak seimbanya powe(kekuatan) kedua tim,jadi sya hnya ingin meminta ke pada developer kita yang tersayang(papa moontod) tolong perbaiki sistem ke seimbang antara pemain.Sekian dari saya terimkasi🙏🙏;1;Negatif
W Pratama;Jangan kebanyakan update terus min, dikit2 keluar skin, ntar event lagi yg ini itu tolong urusin server, jaringan, crash tiba2, lag padahal jaringan bagus, makin banyak aja bug sistem, skin ntar dulu lah ini dulu perbaiki kami pun main;1;Negatif
Abyyy;Sangat di sayangkan sekali Tiap update patch bug terus kalo download ulang Mobile legend nya. Saya udah ketiga kali nya download tapi pas udah selesai, base turet nya malah blank (hitam), saya rasa kira download data nya belum sempurna, pas di ulang tetep aja. Tolong segera di perbaiki untuk developer;1;Negatif
RANSv;Gamenya jelek setiap main selalu ngeleg, dan tidak ada perbedaan antara grafik smooth dan standart itu tetap saja sama sama ngeleg, saya juga sudah menaikan kualitas fps ke high tetap saja ngelag, saya kasi b1 dlu jika hal ini sudah tidak ada lagi dan diperbaiki oleh pihak moonton, Terimakasih.;1;Negatif
Ryan R;"Saya kasih bintang 1 karna sering terjadi jaringan saya lag saat war, tim saya terlalu lemah dan musuhnya juga terlalu kuat, saran saya perbaiki matchingnys karna pada saat matching itu kebanyakan tidak seimbang gitu, musuhnya terlalu kuat dan tim saya terlalu lemah. Ini yg membuat saya kesal. Kedua perbaiki jaringan nya karna pas mau masuk permainan atau pas lagi war itu tiba tiba jaringan ngelag gitu padahal pas saya buka aplikasi lain lancar"" aja, jadi saya mohon perbaiki lagi ya moonton🙏🏻";1;Negatif
Amaliah St;Menurut saya ini game diatur oleh sistem. Segi kemenangan hanya ngandelun hoki. Selama main kadang demage sangat sakit.. tapi lebih sering damege gak kerasa sama sekali.. musuhnya gak seimbang.. jadi saya yakin masalah ini karena di atur sistem.;1;Negatif
Ahmad Rifadil;dari kapan tau bilang perbaiki masalah jaringan kalo dah di in gamenya moonton suka ga jelas tiba-tiba ping di atas 200. Kebanyakan di update buat yang lain sampe ga pernah mentingin kenyamanan para pemainnya masalah jaringan. Bintang 1 dari dulu ga pernah di respon soal jaringan.;1;Negatif
Ana Haryati;"Saya bermain fair.. tiba tiba terjadi koneksi hilang.. dan saya sama sekali tidak keluar dari pertandingan ataupun close aplikasi.. tp saya tetap mendapat grade AFK.. saya mengajukan banding sudah saya lakukan.. tetap saja sistem maupun hakim Silvana tidak mau menerima ajuan banding saya.. benar"" buruk";1;Negatif
Imam Arifin;Makin kesini makin rusak ni game. Kebanyakan update-update gak jelas. Koneksi makin buruk. Fps sering drop. Koneksi sering lompat. Makin males main. Tolong lah monton perbaikin koneksi di game. Masak habis update jadi lag mulu tiap main;1;Negatif
iKonic hanbincutie;pembelian dalam aplikasi mahal. dan untuk setiap akun sudah di atur agar jarang bahkan tidak mendapat skin sesuai role hero pengguna. dan sering lag saat bermain, bahkan sering stuck di loading screen dan berlangsung sebelum hingga sesudah update versi terbaru 1.7.44.811.1 sangat mengecewakan, kapitalis dan tidak mengimbangi pengguna.;1;Negatif
Rio Beban tim;"Abis di update malah muncul 'Mengunduh Update....(0%)' diloading screen.. dan ini ga jalan², netep di 0% doang... Dan kalo nunggu lama bakal muncul tampilan ""Pengunduhan Resource gagal. Gagal menemukan Resource penting. Gameplay tidak tersedia di Server ini. Ingin melanjutkan pengunduhan?"". Kalo pencet unduh masih ga bisa, pencet ganti server ga bisa diapa²in... Tolong dong moonton, difix untuk masalah yg seperti ini... Sama juga kalo download resource ga jalan²... Itu aja, semoga aja dibaca🙏🏼";1;Negatif
Muhammad Taufiqul Hariri;Tolong dong perbaiki sistem saat pencarian matchmaking!! Seimbangin antara player tim dengan player lawan yang tidak seimbang, terkesan tidak adil. Seperti level kita tidak setara dengan player tim sendiri, dan juga player tim kita yang sering bermain tidak bagus, berbeda dengan tim lawan yang sudah profesional. (Catat!!);1;Negatif
Rizki Fabio;Tolong moonton... Saya ingin menyampaikan, saya tidak nyaman dengan jaringan, saya HP baru, ram 6, galery foto juga ga banyak, frame rate ultra,grafik rendah... Peningkatan jaringan juga udah on, speed jaringan on, sampah dibersihkan pakai wifi & jaringan, sama aja... Merah trus... Sampe sampe gak bisa main sama sekali karna jaringan, saya tidak nyaman dengan itu.. Mlbb terlalu banyak update, makanya itu saya hapus mlbb;1;Negatif
